Q71969	methenamine	Q221668	urinary tract infection
Q71969	methenamine	Q246084	cystitis
Q71969	methenamine	Q632522	bacteriuria
Q73972	hydroxocobalamin	Q8277	multiple sclerosis
Q73972	hydroxocobalamin	Q1346016	pernicious anemia
Q73972	hydroxocobalamin	Q4062508	alcoholic neuropathy
Q73972	hydroxocobalamin	Q4160985	diabetic polyneuropathy
Q81225	morphine	Q81938	pain
Q81225	morphine	Q188008	dyspnea
Q81225	morphine	Q540571	fibromyalgia
Q81890	bismuth subsalicylate	Q18975220	Escherichia coli infectious disease
Q81890	bismuth subsalicylate	Q18975970	bacteroides infectious disease
Q83187	thiamine ion	Q184084	beriberi
Q83187	thiamine ion	Q221441	pellagra
Q83187	thiamine ion	Q1573307	Wernicke encephalopathy
Q83187	thiamine ion	Q2351083	metabolic disease
Q83187	thiamine ion	Q4062508	alcoholic neuropathy
Q118551	clarithromycin	Q12192	pneumonia
Q118551	clarithromycin	Q34879	staphylococcal infection
Q118551	clarithromycin	Q153356	chlamydia infection
Q118551	clarithromycin	Q183344	sinusitis
Q118551	clarithromycin	Q186470	tonsillitis
Q118551	clarithromycin	Q223254	otitis media
Q118551	clarithromycin	Q480700	otitis
Q118551	clarithromycin	Q727028	bacterial infectious disease
Q118551	clarithromycin	Q840143	streptococcal pharyngitis
Q118551	clarithromycin	Q876887	cellulitis
Q118551	clarithromycin	Q1900400	acute bronchitis
Q118551	clarithromycin	Q2085267	pharyngitis
Q118551	clarithromycin	Q2458539	skin infection
Q118551	clarithromycin	Q2622199	upper respiratory tract infection
Q118551	clarithromycin	Q2710164	dental abscess
Q118551	clarithromycin	Q4293079	mycobacterium infectious disease
Q118551	clarithromycin	Q4497153	Helicobacter pylori infectious disease
Q118551	clarithromycin	Q6946984	Mycobacterium avium-intracellulare infection
Q118551	clarithromycin	Q18968110	duodenal ulcer
Q118551	clarithromycin	Q26695607	arterial occlusive disease
Q118551	clarithromycin	Q56003062	influenza, severe, susceptibility to
Q127060	folic acid	Q2070695	macrocytic anemia
Q127060	folic acid	Q10832211	megaloblastic anemia
Q130336	phenol	Q81938	pain
