Q62947	flunitrazepam	Q62903	anxiolytic
Q62947	flunitrazepam	Q50430260	GABA Modulators
Q68484	prucalopride	Q217972	laxative
Q68484	prucalopride	Q50430392	Serotonin 5-HT4 Receptor Agonists
Q68566	mosapride	Q7455050	serotonin receptor agonist
Q68566	mosapride	Q50377202	gastrointestinal agent
Q71969	methenamine	Q50377189	urinary anti-infective agents
Q73972	hydroxocobalamin	Q183206	vitamin B
Q73972	hydroxocobalamin	Q10860580	Hematinic
Q81225	morphine	Q940	narcotic
Q81225	morphine	Q427523	opioid
Q81225	morphine	Q50349010	opioid receptor agonist
Q81890	bismuth subsalicylate	Q2742649	Antidiarrhoeal
Q81890	bismuth subsalicylate	Q26697606	cyclooxygenase inhibitor
Q83187	thiamine ion	Q183206	vitamin B
Q118551	clarithromycin	Q12187	antibiotic
Q118551	clarithromycin	Q7251505	protein synthesis inhibitor
Q118551	clarithromycin	Q50348938	xenobiotic-transporting ATPase inhibitor
Q118551	clarithromycin	Q50430512	Cytochrome P-450 CYP3A Inhibitors
Q120199	Fumagillin	Q12187	antibiotic
Q120199	Fumagillin	Q574834	angiogenesis inhibitor
Q120199	Fumagillin	Q582559	antiprotozoal
Q127060	folic acid	Q183206	vitamin B
Q127060	folic acid	Q10860580	Hematinic
Q130336	phenol	Q73984	disinfectant
Q130336	phenol	Q2093727	sclerosing agent
Q130336	phenol	Q50377188	local anti-infective agent
Q130365	riboflavin	Q183206	vitamin B
Q130365	riboflavin	Q18388377	photosensitizer
Q132621	epinephrine	Q162657	neurotransmitter
Q132621	epinephrine	Q2355954	stress hormone
Q132621	epinephrine	Q4734924	Alpha-adrenergic agonist
Q132621	epinephrine	Q50316261	Adrenergic beta-Agonists
Q132621	epinephrine	Q50349107	Adrenergic beta-2 Agonists
Q134658	niacin	Q183206	vitamin B
Q134658	niacin	Q955332	hypolipidemic
Q134658	niacin	Q4008956	vasodilator agent
Q134658	niacin	Q30715691	Vitamin B3 complex
Q139160	dienogest	Q3344800	oral contraceptive formulations
Q139160	dienogest	Q16875676	hormone antagonist
Q139160	dienogest	Q50429935	Contraceptive Agents, Male
Q139160	dienogest	Q50430266	hormonal antineoplastic agents
Q139195	calcitriol	Q34956	vitamin
Q139195	calcitriol	Q4775140	antipsoriatic
Q139195	calcitriol	Q50429898	Calcium Channel Agonists
Q139195	calcitriol	Q50430327	bone density conservation agents
Q139347	cholecalciferol	Q34956	vitamin
Q139347	cholecalciferol	Q50430327	bone density conservation agents
Q144085	pimozide	Q208144	antipsychotic
Q144085	pimozide	Q3271533	Dopamine antagonist
Q144085	pimozide	Q50430254	Anti-Dyskinesia Agents
Q145052	zaleplon	Q576618	anticonvulsant
Q145052	zaleplon	Q50377192	hypnotics and sedatives
Q145052	zaleplon	Q50430260	GABA Modulators
Q146075	zanamivir	Q427492	enzyme inhibitor
Q146075	zanamivir	Q40207875	antiviral agent
Q147101	aciclovir	Q4118287	DNA Polymerase Inhibitor
Q147101	aciclovir	Q40207875	antiviral agent
Q155472	valsartan	Q285044	Angiotensin II receptor antagonist
Q155472	valsartan	Q575890	antihypertensive drug
Q155683	calcipotriene	Q1809112	dermatologic drug
Q155683	calcipotriene	Q4775140	antipsoriatic
Q155685	dihydrotachysterol	Q34956	vitamin
Q155685	dihydrotachysterol	Q50430327	bone density conservation agents
Q155883	alfacalcidol	Q50430327	bone density conservation agents
Q155954	tenofovir	Q421559	reverse-transcriptase inhibitor
Q155954	tenofovir	Q40207875	antiviral agent
Q155954	tenofovir	Q50377208	anti-HIV agents
Q158348	alpha-tocopherol	Q34956	vitamin
Q158348	alpha-tocopherol	Q133948	antioxidant
Q158348	alpha-tocopherol	Q25401178	free radical scavengers
Q162867	nitroglycerin	Q12140	medication
Q162867	nitroglycerin	Q12870	explosive material
Q162867	nitroglycerin	Q4008956	vasodilator agent
Q162867	nitroglycerin	Q50316227	Nitric Oxide Donors
Q163901	cefixime	Q12187	antibiotic
Q163901	cefixime	Q427492	enzyme inhibitor
Q165399	azithromycin	Q12187	antibiotic
Q165399	azithromycin	Q7251505	protein synthesis inhibitor
Q166476	darifenacin	Q3001265	muscarinic antagonist
Q166476	darifenacin	Q50430468	Urological Agents
Q166825	ibandronic acid	Q50430327	bone density conservation agents
Q169569	metronidazole	Q582559	antiprotozoal
Q169569	metronidazole	Q2126468	radiosensitizer
Q169569	metronidazole	Q50377176	anti-infective agent
Q170304	dopamine	Q461076	Dopaminergic
Q170304	dopamine	Q598405	sympathomimetic drug
Q170304	dopamine	Q600203	dopamine agonist
Q170304	dopamine	Q2496749	adrenergic agonist
Q170304	dopamine	Q2938102	cardiotonic
Q174259	droperidol	Q208144	antipsychotic
Q174259	droperidol	Q575136	antiemetic
Q174259	droperidol	Q3271533	Dopamine antagonist
Q174259	droperidol	Q50429823	Adjuvants, Anesthesia
Q174259	droperidol	Q50430491	Dopamine D2 Receptor Antagonists
Q174723	codeine	Q940	narcotic
Q174723	codeine	Q427523	opioid
Q174723	codeine	Q584209	antitussive
Q174723	codeine	Q50349010	opioid receptor agonist
Q176301	oxcarbazepine	Q576618	anticonvulsant
Q176301	oxcarbazepine	Q50430448	Voltage-Gated Sodium Channel Blockers
Q176301	oxcarbazepine	Q50430523	Cytochrome P-450 CYP3A Inducers
Q176533	alfentanil	Q940	narcotic
Q176533	alfentanil	Q427523	opioid
Q176533	alfentanil	Q50349010	opioid receptor agonist
Q176533	alfentanil	Q50430244	Anesthetics, Intravenous
Q177094	imatinib	Q7251487	protein kinase inhibitor
Q178566	chlordiazepoxide	Q62903	anxiolytic
Q178566	chlordiazepoxide	Q17164853	GABAA receptor positive allosteric modulators
Q178566	chlordiazepoxide	Q50377192	hypnotics and sedatives
Q178566	chlordiazepoxide	Q50429823	Adjuvants, Anesthesia
Q178566	chlordiazepoxide	Q50430260	GABA Modulators
Q179748	isosorbide dinitrate	Q4008956	vasodilator agent
Q179748	isosorbide dinitrate	Q50316227	Nitric Oxide Donors
Q180623	acetylcholine	Q162657	neurotransmitter
Q180623	acetylcholine	Q4008956	vasodilator agent
Q180623	acetylcholine	Q50430232	cholinergic agonist
Q180912	melatonin	Q133948	antioxidant
Q180912	melatonin	Q1976211	depressant
Q180983	cytarabine	Q249619	immunosuppressive drug
Q180983	cytarabine	Q4118287	DNA Polymerase Inhibitor
Q180983	cytarabine	Q40207875	antiviral agent
Q180983	cytarabine	Q50429867	Antimetabolites, Antineoplastic
Q181003	L-Tryptophan	Q50430246	Antidepressive Agents, Second-Generation
Q181354	biotin	Q183206	vitamin B
Q182040	aspartame	Q626292	sugar substitute
Q183011	arginine vasopressin	Q1642182	antihemorrhagic
Q183011	arginine vasopressin	Q3359124	Vasoconstrictor Agents
Q183011	arginine vasopressin	Q4774696	Antidiuretic
Q183554	fosfomycin	Q12187	antibiotic
Q183554	fosfomycin	Q427492	enzyme inhibitor
Q185331	rocuronium	Q50429959	Neuromuscular Nondepolarizing Agents
Q185690	corticotropin	Q11364	hormone
Q185916	fludarabine phosphate	Q249619	immunosuppressive drug
Q185916	fludarabine phosphate	Q50429867	Antimetabolites, Antineoplastic
Q186093	(E)-phytonadione	Q34956	vitamin
Q186093	(E)-phytonadione	Q575222	antifibrinolytic
Q186127	dactinomycin	Q12187	antibiotic
Q186127	dactinomycin	Q4118287	DNA Polymerase Inhibitor
Q186127	dactinomycin	Q7251505	protein synthesis inhibitor
Q186127	dactinomycin	Q50377181	antineoplastic antibiotics
Q186242	norepinephrine	Q598405	sympathomimetic drug
Q186242	norepinephrine	Q3359124	Vasoconstrictor Agents
Q186242	norepinephrine	Q4734924	Alpha-adrenergic agonist
Q186969	ibuprofen	Q188724	non-steroidal anti-inflammatory drug
Q186969	ibuprofen	Q1747785	non-opioid analgesic
Q186969	ibuprofen	Q26697606	cyclooxygenase inhibitor
Q187921	phenolphthalein	Q50377175	indicators and reagents
Q189522	quinine	Q521616	antimalarial
Q189522	quinine	Q1747785	non-opioid analgesic
Q189522	quinine	Q4118287	DNA Polymerase Inhibitor
Q189522	quinine	Q50430093	central muscle relaxants
Q190012	adenosine	Q173235	analgesic
Q190012	adenosine	Q241549	antiarrhythmic agent
Q190012	adenosine	Q4008956	vasodilator agent
Q190012	adenosine	Q50430408	Purinergic P1 Receptor Agonists
Q190067	Tetrahydrocannabinol	Q194270	hallucinogenic
Q190067	Tetrahydrocannabinol	Q1747785	non-opioid analgesic
Q190067	Tetrahydrocannabinol	Q12830468	psychotropic drug
Q190067	Tetrahydrocannabinol	Q50430459	cannabinoid receptor agonists
Q190077	zinc oxide	Q827658	sunscreen
Q190077	zinc oxide	Q1809112	dermatologic drug
Q190875	cortisol	Q581996	anti-inflammatory agent
Q190875	cortisol	Q7447768	selective glucocorticoid receptor agonist
Q190875	cortisol	Q16909071	Lipoxygenase inhibitor
Q191700	benzoic acid	Q578726	antifungal
Q191700	benzoic acid	Q6509670	food preservative
Q192423	niacinamide	Q183206	vitamin B
Q192423	niacinamide	Q422816	Enzyme activator
Q192464	levoleucovorin	Q194168	antidote
Q192471	menadione	Q34956	vitamin
Q192471	menadione	Q575222	antifibrinolytic
Q192717	streptomycin	Q12187	antibiotic
Q192717	streptomycin	Q7251505	protein synthesis inhibitor
Q193045	tetracycline	Q12187	antibiotic
Q193045	tetracycline	Q7251505	protein synthesis inhibitor
Q193166	choline	Q742487	nootropic
Q193166	choline	Q13643765	Lipotropic
Q193572	salicylic acid	Q445580	keratolytic
Q193572	salicylic acid	Q578726	antifungal
Q193572	salicylic acid	Q50377176	anti-infective agent
Q194974	letrozole	Q427492	enzyme inhibitor
Q194974	letrozole	Q2853144	antineoplastic
Q194974	letrozole	Q3040305	aromatase inhibitors
Q198473	Ziconotide	Q421700	calcium channel blocker
Q198473	Ziconotide	Q1747785	non-opioid analgesic
Q198473	Ziconotide	Q50377190	neuroprotective agent
Q198504	zidovudine	Q421559	reverse-transcriptase inhibitor
Q198504	zidovudine	Q50377208	anti-HIV agents
Q198504	zidovudine	Q50429865	Antimetabolites
Q409672	(RS)-citalopram	Q334477	selective serotonin reuptake inhibitor
Q409672	(RS)-citalopram	Q50430246	Antidepressive Agents, Second-Generation
Q411629	albendazole	Q572294	anthelmintic
Q411629	albendazole	Q582559	antiprotozoal
Q411629	albendazole	Q50429845	Anticestodal Agents
Q411629	albendazole	Q50430329	Tubulin Modulators
Q413717	(RS)-baclofen	Q50430093	central muscle relaxants
Q413717	(RS)-baclofen	Q50430379	GABA-B Receptor Agonists
Q414065	palygorskite	Q194168	antidote
Q416760	mepivacaine	Q1868462	local anesthetic
Q420377	(RS)-mexiletine	Q241549	antiarrhythmic agent
Q420377	(RS)-mexiletine	Q50430448	Voltage-Gated Sodium Channel Blockers
Q420885	DL-tranylcypromine	Q62903	anxiolytic
Q420885	DL-tranylcypromine	Q76560	antidepressant
Q420885	DL-tranylcypromine	Q410954	monoamine oxidase inhibitor
Q422112	methylphenidate	Q211036	stimulant
Q422112	methylphenidate	Q899647	Dopamine reuptake inhibitor
Q422112	methylphenidate	Q899668	adrenergic uptake inhibitors
Q422212	budesonide	Q422549	glucocorticoid
Q422212	budesonide	Q581996	anti-inflammatory agent
